 Gene ID,Gene Name,DesignElementAccession,wt_A_sucrose,wt_B_sucrose,wt_C_sucrose,wt_72h_MS_1,wt_72h_MS_2,wt_72h_MS_3,'sucrose; 1 percent' vs 'none' in 'wild type'.p-value,'sucrose; 1 percent' vs 'none' in 'wild type'.t-statistic,'sucrose; 1 percent' vs 'none' in 'wild type'.log2foldchange
AT1G16730,UP6,255763_at,4.322117537,4.112249757,4.350597947,4.473701364,4.488021013,4.134632729,NA,-0.749232666,-0.1
AT1G16740,,255767_at,8.968074659,9.123558609,8.687710825,8.603283409,8.773009264,8.915205323,NA,1.100090335,0.2
AT1G16750,,255766_at,7.325226243,7.55487724,7.225524754,6.735496715,7.024654478,6.853040991,0.015354256,3.708033637,0.5
AT1G16760,,255765_at,3.190373621,3.576402124,3.468128924,3.308105253,3.282963245,3.467110002,NA,0.439191594,0.1
AT1G16770,,255761_at,4.947989896,4.784638475,4.813925158,4.734372951,4.79818643,4.750006387,NA,0.828339569,0.1
AT1G16780,AVPL2,255760_at,7.206059728,7.520679039,7.428503864,7.042997596,6.915143585,7.150326373,0.045704549,2.723099984,0.3
AT1G16790,,255759_at,6.255323373,6.633805303,6.165149077,5.909916529,6.527704869,5.635621788,0.2426828,1.404621635,0.3
AT1G16800,,255758_at,3.980813964,4.099865761,4.010444801,4.06509203,3.974629334,4.014405863,NA,0.118519658,0
AT1G16810,,256113_at,9.091610786,9.137088745,9.126898367,10.0086756,10.0227441,9.858579466,0.00077968,-7.94338965,-0.8
AT1G16820,,256111_at,4.101662718,3.703721894,4.219837051,4.145415575,4.354082355,4.314687476,0.16622199,-1.702746787,-0.3
AT1G16830,,256107_at,5.563161113,5.879785502,5.840641451,5.424250416,4.994795657,5.428978061,0.031798478,3.030812457,0.5
AT1G16840,,256117_at,8.192728445,7.989482068,8.034516747,9.046485438,8.927709206,8.988713775,0.000683593,-8.251816827,-0.9
AT1G16850,,256114_at,4.533878103,4.960029067,4.635475842,4.680332483,4.707225466,4.466324152,NA,0.636237305,0.1
AT1G16860,,256116_at,8.278440613,8.215130932,8.395501052,8.044110451,8.326436457,8.270247491,NA,0.678165322,0.1
AT1G16870,,256106_at,9.500491749,9.490906532,9.527138093,8.966379792,8.875365229,9.206293626,0.010998424,4.041818228,0.5
AT1G16880,ACR11,256115_at,12.36616399,12.48172378,11.99437129,11.26046033,11.59519155,11.84870633,0.013648018,3.822849875,0.7
